geo_id,geo_name,year,component,value,note
state:DE,Delaware,2021,gun_deaths_per_100k,-0.1362847512,z-score within 2021; raw=14.3 (per 100k population)
state:DE,Delaware,2022,dv_rate,0.3208251798,z-score within 2022; raw=747.862 (per 100k female population)
state:DE,Delaware,2022,sexual_assault_rate,-0.9874304229,z-score within 2022; raw=43.251 (per 100k female population)
state:DE,Delaware,2022,firearm_share,0.1510143366,z-score within 2022; raw=0.0657964 (proportion)
state:DE,Delaware,2022,fem_poverty_rate,-1.246826026,z-score within 2022; raw=0.1 (proportion)
state:DE,Delaware,2022,unemployment_rate,0.3989767291,z-score within 2022; raw=0.043 (proportion)
state:DE,Delaware,2022,gun_deaths_per_100k,0.03550699921,z-score within 2022; raw=16.6 (per 100k population)
state:DE,Delaware,2023,dv_rate,0.3322756942,z-score within 2023; raw=758.807 (per 100k female population)
state:DE,Delaware,2023,sexual_assault_rate,-1.392721703,z-score within 2023; raw=25.2702 (per 100k female population)
state:DE,Delaware,2023,firearm_share,0.2928041375,z-score within 2023; raw=0.0667365 (proportion)
state:DE,Delaware,2023,fem_poverty_rate,-0.6711253404,z-score within 2023; raw=0.115 (proportion)
state:DE,Delaware,2023,unemployment_rate,-0.590116035,z-score within 2023; raw=0.035 (proportion)
state:DE,Delaware,2023,gun_deaths_per_100k,-0.6027189673,z-score within 2023; raw=12.1 (per 100k population)
state:DE,Delaware,2024,dv_rate,0.5009528484,z-score within 2024; raw=793.368 (per 100k female population)
state:DE,Delaware,2024,sexual_assault_rate,-1.498089056,z-score within 2024; raw=23.5835 (per 100k female population)
state:DE,Delaware,2024,firearm_share,0.3674698199,z-score within 2024; raw=0.0659649 (proportion)
state:DE,Delaware,2024,fem_poverty_rate,-1.019863581,z-score within 2024; raw=0.103 (proportion)
state:DE,Delaware,2024,unemployment_rate,0.9041060545,z-score within 2024; raw=0.051 (proportion)
state:DE,Delaware,2024,gun_deaths_per_100k,-0.5280448662,z-score within 2024; raw=12 (per 100k population)
state:DC,District of Columbia,2021,dv_rate,-0.7730316381,z-score within 2021; raw=380.133 (per 100k female population)
state:DC,District of Columbia,2021,sexual_assault_rate,0.2853382868,z-score within 2021; raw=89.34 (per 100k female population)
state:DC,District of Columbia,2021,firearm_share,-0.3062975506,z-score within 2021; raw=0.0486735 (proportion)
state:DC,District of Columbia,2021,fem_poverty_rate,1.568986288,z-score within 2021; raw=0.183 (proportion)
state:DC,District of Columbia,2021,unemployment_rate,1.545502729,z-score within 2021; raw=0.082 (proportion)
state:DC,District of Columbia,2022,dv_rate,0.6358616863,z-score within 2022; raw=837.654 (per 100k female population)
state:DC,District of Columbia,2022,sexual_assault_rate,2.835420938,z-score within 2022; raw=191.484 (per 100k female population)
state:DC,District of Columbia,2022,firearm_share,-0.5947557316,z-score within 2022; raw=0.0417509 (proportion)
state:DC,District of Columbia,2022,fem_poverty_rate,0.198358686,z-score within 2022; raw=0.141 (proportion)
state:DC,District of Columbia,2022,unemployment_rate,1.367920214,z-score within 2022; raw=0.051 (proportion)
state:DC,District of Columbia,2023,dv_rate,0.7211314529,z-score within 2023; raw=862.353 (per 100k female population)
