geo_id,geo_name,geo_type,state,county,tribal_area,year,quarter,month,dv_rate,sexual_assault_rate,firearm_share,dating_partner_share,minority_victim_share,native_american_victim_share,reporting_proxy,risk_index,data_quality_flag
state:LA,Louisiana,state,LA,,,2021,,,756.158012,44.05598987,0.09773001844,0.2575189165,0.577359535,0.001445397792,1717.146351,1.042882266,ok
state:LA,Louisiana,state,LA,,,2022,,,770.0333696,52.74351061,0.08680950478,0.2492699271,0.57701163,0.002036719995,1779.87463,1.088181171,ok
state:LA,Louisiana,state,LA,,,2023,,,760.5160502,33.8762375,0.08147150064,0.2509635572,0.5926707251,0.001145199204,1749.3404,1.017241365,ok
state:LA,Louisiana,state,LA,,,2024,,,807.4338649,34.50851641,0.0822354569,0.2558202491,0.5993583259,0.001734254415,1812.433075,1.04549546,ok
state:ME,Maine,state,ME,,,2021,,,420.6608641,66.93120097,0.009007029877,0.3202987698,0.1030658839,0.008045227223,789.3026601,-0.6632106685,ok
state:ME,Maine,state,ME,,,2022,,,406.8548248,64.45735501,0.0153367415,0.2953989776,0.1232786885,0.01136612022,773.3163739,-0.7910339858,ok
state:ME,Maine,state,ME,,,2023,,,391.8643939,39.96542652,0.01504102097,0.2871467639,0.1071748879,0.01031390135,743.0859812,-0.8907363882,ok
state:ME,Maine,state,ME,,,2024,,,367.1640331,41.15205516,0.01048118152,0.2763220581,0.1124067164,0.009561567164,708.0177359,-0.9519642635,ok
state:MD,Maryland,state,MD,,,2021,,,286.9451373,30.70837454,0.02903175992,0.1910228033,0.5854771982,0.001521708117,777.798686,-0.691048605,ok
state:MD,Maryland,state,MD,,,2022,,,557.1970535,56.17050557,0.04198238239,0.2018260194,0.640280035,0.001550193774,1489.994469,-0.4543376032,ok
state:MD,Maryland,state,MD,,,2023,,,723.3935786,48.60542987,0.04133083609,0.1994360151,0.6306052724,0.002368288232,1890.082997,-0.3221362478,ok
state:MD,Maryland,state,MD,,,2024,,,758.9702513,51.2162109,0.03827834572,0.1909464064,0.6266278698,0.001685532806,2020.790573,-0.329476532,ok
state:MA,Massachusetts,state,MA,,,2021,,,501.9616638,72.45448987,0.02654131675,0.2398463699,0.4441190825,0.001115526738,1206.042317,-0.5943669275,ok
state:MA,Massachusetts,state,MA,,,2022,,,509.075252,71.18629931,0.03012270112,0.2315452407,0.4463441084,0.00119978773,1218.279979,-0.7265146972,ok
state:MA,Massachusetts,state,MA,,,2023,,,491.4409091,48.67722892,0.02531101301,0.2197156452,0.4565157244,0.001221986535,1197.569681,-0.7756376039,ok
