data_year,weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,sex_code,age_range_low_num,age_range_high_num,
2021,Blunt Object,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Asian,40,25,25 Years Old,Attempting Other Arrests,I,PORTLAND,Portland,Oregon,664350,654,99,137,150,1.2,1.6,3/21/21 0:00,16,Not Specified,None,F,25,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,29,29 Years Old,"Handling, Transporting, Custody of Prisoners",I,MYRTLE BEACH,Myrtle Beach,South Carolina,36543,180,22,27,54,5.7,7.7,8/13/21 0:00,0,Not Hispanic or Latino,Minor Injury,F,29,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,29,29 Years Old,"Handling, Transporting, Custody of Prisoners",I,MYRTLE BEACH,Myrtle Beach,South Carolina,36543,180,22,27,54,5.7,7.7,8/13/21 0:00,0,Not Hispanic or Latino,Minor Injury,F,29,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,26,26 Years Old,Attempting Other Arrests,I,METROPOLITAN NASHVILLE PD,Metropolitan Nashville Police Department,Tennessee,690553,1291,149,159,251,2.1,2.7,4/1/21 0:00,22,Not Hispanic or Latino,None,F,26,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Hotel/Motel/Etc.,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,PLEASANTON,Pleasanton,Texas,11160,19,0,3,4,2,2.3,4/13/21 0:00,14,Hispanic or Latino,None,F,27,,
2021,Personal Weapons,t,None (no bias),Victim was Otherwise Known,Hotel/Motel/Etc.,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,PLEASANTON,Pleasanton,Texas,11160,19,0,3,4,2,2.3,4/13/21 0:00,14,Hispanic or Latino,None,F,27,,
2021,Personal Weapons,t,None (no bias),Victim was Otherwise Known,Hotel/Motel/Etc.,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,PLEASANTON,Pleasanton,Texas,11160,19,0,3,4,2,2.3,4/13/21 0:00,14,Hispanic or Latino,None,F,27,,
2021,Personal Weapons,t,None (no bias),Victim was Otherwise Known,Hotel/Motel/Etc.,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,27,27 Years Old,Attempting Other Arrests,I,PLEASANTON,Pleasanton,Texas,11160,19,0,3,4,2,2.3,4/13/21 0:00,14,Hispanic or Latino,None,F,27,,
2021,Blunt Object,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,40,40 Years Old,Responding to Disturbance Call,I,BROWNSVILLE,Brownsville,Texas,184287,199,40,27,35,1.2,1.6,1/22/21 0:00,13,Hispanic or Latino,None,F,40,0,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Government/Public Building,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,I,HIDALGO,Hidalgo,Texas,250859,251,365,23,183,1.1,3.3,5/7/21 0:00,21,Hispanic or Latino,None,F,31,,
