state_name,data_year,total_incidents,white_victims,black_victims,nat_amer_victims,asian_victims,hispanic_victims,other_race_victims,victims_age_18_29,victims_age_30_39,victims_age_40_49,victims_age_50_59,victims_age_60_69,victims_age_70_79,victims_age_80_plus,involving_firearm,sex_assaults,victim_offender_nonmarried_partner,victim_offender_rel_spouse,dv_total,firearm_nonmarried,near_school,on_tribal_lands,fem_pop,white_pop,black_pop,nat_amer_pop,asian_pop,hispanic_pop,other_race_pop,diversity_index,%_fem_age_18-29,%_fem_age_30-39,%_fem_age_40-49,fem_age_50-59,fem_age_60-69,fem_age_70-79,fem_age_80+,age_coef_variation,fem_poverty_rate,male_poverty_rate,poverty_gender_disparity_score,fem_labor_force_part,all_labor_force_part,labor_force_ratio,unemployment_rate,mhhi,%_at_least_bach_degree,%_at_least_high_school,avg_years_schooling,gun_deaths_per_100k,white_adj_rate,black_adj_rate,nat_amer_adj_rate,asian_adj_rate,hispanic_adj_rate
New York,2022,24130,14497,8152,109,196,2769,1176,9274,7213,3995,2353,987,245,63,926,992,6382,1235,13260,141,206,1,8095399.4,0.528985776,0.133852711,0.00178288,0.090271503,0.196537548,0.048569582,0.653119365,0.19959873,0.173254266,0.151842502,0.163786488,0.154922639,0.100982143,0.055613232,0.550723429,0.152,0.132,1.151515152,0.589811665,0.628008707,0.939177529,0.051,79557,0.399975857,0.878981872,13.68953015,5.4,338.528989,752.3132643,755.2071699,26.8205153,174.0360196
New York,2023,82779,23076,31325,275,4232,23778,23871,30728,24910,13694,8022,3917,1130,378,2114,2044,16885,6781,44515,245,432,0,8077036.8,0.527508204,0.133329937,0.001941678,0.090408945,0.197849025,0.048962211,0.65423914,0.195170046,0.173196373,0.153582323,0.160678729,0.156556612,0.105649253,0.055166664,0.52216805,0.154,0.128,1.203125,0.592594949,0.629935785,0.940722789,0.05,82095,0.40639856,0.883271379,13.73464466,5.3,541.6007416,2908.783139,1753.49052,579.5383714,1487.953457
New York,2024,83010,34437,34197,303,4508,24799,9565,29821,25096,14346,7878,4142,1347,380,1869,1947,15951,6943,44556,185,423,1,8206934.6,0.519309418,0.132340322,0.001725805,0.094326552,0.202307234,0.049990668,0.660476006,0.196496696,0.176644624,0.152186628,0.153389246,0.158511225,0.105749401,0.057022179,0.539219875,0.149,0.13,1.146153846,0.595476512,0.629575006,0.945838871,0.053,85820,0.412171481,0.880441148,13.72784739,4.7,808.0126112,3148.580843,2139.291339,582.3297464,1493.625721
North Carolina,2021,74446,34424,37910,733,603,5492,776,30115,20794,11870,7270,3004,990,403,9095,2722,22409,5581,35276,850,743,0,4268328.2,0.609290711,0.198660963,0.008734109,0.030587721,0.101410726,0.05131577,0.575369314,0.20257513,0.172532219,0.15916627,0.155720743,0.154703473,0.106658401,0.048643764,0.45607063,0.146,0.121,1.20661157,0.57272103,0.621961557,0.920830273,0.058,61972,0.349128551,0.896974205,13.63387749,16,1323.667696,4470.78147,1966.199409,461.8621641,1268.787323
North Carolina,2022,73982,34887,36645,951,623,6191,876,28848,20314,12338,7467,3320,1195,500,9178,2788,21344,5632,34375,821,1374,5,4343167.2,0.607303056,0.201481955,0.008576337,0.031877078,0.104196823,0.04656475,0.576473064,0.201835148,0.170044427,0.159359451,0.161769824,0.155230088,0.104880859,0.046880202,0.446985293,0.14,0.115,1.217391304,0.580825312,0.628130341,0.924689152,0.038,67481,0.359190979,0.901965785,13.68932342,17.3,1322.670325,4187.665856,2553.125306,449.9901347,1368.043093
North Carolina,2023,72925,34153,36222,907,687,6621,956,27393,20845,12422,7267,3290,1195,513,8808,1753,20059,5495,33171,763,1441,3,4400943,0.597515886,0.19868652,0.008313606,0.032998043,0.114150157,0.048335788,0.58697384,0.204352774,0.17071364,0.157156605,0.162133924,0.155130265,0.104780007,0.045732785,0.436464805,0.14,0.115,1.217391304,0.585330851,0.631887203,0.926321736,0.04,70804,0.367933471,0.905729403,13.74177648,17.1,1298.774216,4142.459579,2478.974759,473.0671693,1317.957273
North Carolina,2024,72886,34795,35591,758,662,7571,1080,27323,20509,12270,7444,3423,1317,600,8383,1976,19349,5537,32654,750,1418,4,4497551.2,0.589730296,0.194817882,0.007954808,0.035809265,0.119913735,0.051774014,0.595858736,0.202002772,0.166714887,0.162135072,0.166928365,0.155790724,0.102354602,0.044073578,0.430596931,0.136,0.114,1.192982456,0.589896927,0.634256687,0.930060241,0.04,73958,0.371400846,0.908522701,13.79115558,16.4,1311.859382,4061.956395,2118.670345,411.042252,1403.809573
North Dakota,2021,6850,4209,1071,1350,71,307,149,2917,2266,962,458,207,32,8,46,497,1876,518,3104,7,76,0,284359.6,0.822709395,0.028834193,0.044975921,0.014132561,0.041348581,0.04799935,0.316081636,0.232242359,0.183661543,0.147171145,0.143284272,0.152131664,0.090184626,0.051324391,0.569103547,0.127,0.096,1.322916667,0.629077816,0.680853886,0.923954212,0.029,66519,0.317415869,0.936245286,13.6831426,13.8,1799.138405,13062.12318,10555.6701,1766.727566,2611.01803
North Dakota,2022,6683,4290,799,1393,54,314,147,2777,2170,1031,512,154,25,14,53,495,1803,611,3064,13,110,5,291125,0.820388804,0.032628349,0.042671197,0.015746971,0.043930082,0.044634596,0.319906703,0.231060928,0.184117975,0.150808308,0.135333976,0.153641849,0.092378497,0.052658467,0.57002949,0.13,0.1,1.3,0.645151996,0.686589176,0.939647781,0.022,71970,0.318270116,0.938658005,13.69550065,16.8,1796.213954,8411.475394,11213.38644,1177.923892,2455.207107
North Dakota,2023,6782,4340,881,1371,52,422,138,2772,2183,1147,464,151,45,20,51,247,1856,559,3173,11,68,2,292666,0.814633014,0.029854859,0.042918592,0.014650618,0.048766083,0.049176836,0.328628602,0.234303096,0.186035468,0.14826633,0.127974153,0.151477539,0.100171409,0.051772005,0.51683415,0.115,0.082,1.402439024,0.653759636,0.694461044,0.941391373,0.029,76525,0.335523052,0.945352554,13.83172502,16.5,1820.352318,10082.97318,10914.89889,1212.760733,2956.802424
North Dakota,2024,6382,4198,770,1230,56,473,128,2700,1909,1108,452,164,31,18,37,278,1582,517,2761,10,96,2,298003.2,0.803105322,0.034902231,0.0405477,0.019238784,0.050030882,0.052175081,0.346564101,0.228859258,0.18918744,0.152261749,0.123206535,0.14980741,0.098926629,0.057750979,0.583775874,0.126,0.097,1.298969072,0.648938514,0.684138325,0.948548693,0.019,77871,0.339517259,0.941451312,13.8127259,12.8,1754.078409,7403.151023,10179.30106,976.7636311,3172.503091
Ohio,2021,74375,37092,34294,52,357,1113,2580,31196,21449,11799,6373,2629,713,216,5691,3554,17348,4575,29775,639,437,1,4701031.6,0.765526654,0.117799575,0.000940151,0.023800135,0.042878801,0.049054683,0.395279918,0.198190892,0.166030143,0.152049223,0.164767118,0.166118872,0.102282615,0.050561136,0.494327755,0.146,0.121,1.20661157,0.586570433,0.626236692,0.936659318,0.054,62262,0.307208462,0.917428402,13.51983543,15.2,1030.686919,6192.717224,1176.555886,319.0770919,552.1529044
Ohio,2022,76722,39218,33648,65,420,1267,3371,30704,22450,12578,6840,3008,853,289,5230,3895,16773,4812,30267,521,648,0,4698741.4,0.761206945,0.11920688,0.000832337,0.02495624,0.043997061,0.049800537,0.401314364,0.19814885,0.164481267,0.153417488,0.160736787,0.163801974,0.106280103,0.05313353,0.499938641,0.149,0.119,1.25210084,0.588141004,0.631073915,0.93196849,0.037,65720,0.319813271,0.917545338,13.5810047,16.5,1096.481116,6007.259462,1662.006094,358.1694937,612.8742918
Ohio,2023,73057,37317,32056,62,419,1583,3203,28105,21947,12314,6478,3021,902,290,4701,2796,15060,4787,28804,442,806,3,4720367.8,0.756067889,0.117891962,0.000768119,0.025519486,0.048042858,0.051709686,0.40882899,0.195212854,0.167416513,0.152794887,0.157678526,0.166805732,0.106073556,0.054017932,0.509249751,0.147,0.118,1.245762712,0.595749019,0.634717842,0.938604494,0.04,67769,0.320340593,0.918785389,13.59776693,15.7,1045.610871,5760.355608,1709.965477,347.8293787,698.0334596
