column,variable_type,count,missing_count,missing_pct,mean,std,min,25%,median,75%,max,iqr,skew,kurtosis,high_skew,extreme_skew,near_zero_variance
victim_offender_rel_spouse,count,204,0,0.0,3010.8970588235293,3924.410026155565,0.0,703.5,1983.0,3991.5,25793.0,3288.0,3.9610574693882192,19.412112733859296,True,True,False
dv_total,count,204,0,0.0,15097.122549019608,17472.373739655646,68.0,3855.75,10638.5,19173.75,112164.0,15318.0,3.346103721963559,14.814416716049273,True,True,False
firearm_nonmarried,count,204,0,0.0,242.88235294117646,336.2208338951875,0.0,39.5,141.5,314.75,2190.0,275.25,3.2310551429324135,13.521422358372,True,True,False
near_school,count,204,0,0.0,432.03921568627453,580.757691289147,0.0,107.0,283.0,490.75,4351.0,383.75,3.822055606528181,19.362778966114508,True,True,False
on_tribal_lands,count,204,0,0.0,20.245098039215687,110.76375572254557,0.0,0.0,1.0,4.0,957.0,4.0,7.121649369134551,50.84221632015269,True,True,False
fem_pop,population,204,0,0.0,2619330.7539215684,2937014.623779564,218632.2,719062.75,1792834.1,3034915.35,15640336.0,2315852.6,2.4821517418761254,6.981885769822062,True,True,False
white_pop,population,204,0,0.0,0.6488735112696078,0.15900387669103194,0.206872537,0.55265846475,0.6602761595,0.765741921,0.906271977,0.21308345625000003,-0.5745578513497247,-0.1215906664985904,False,False,False
black_pop,population,204,0,0.0,0.10508837450980392,0.09905291940582733,0.003022248,0.03099746825,0.06969673400000001,0.14115603525,0.426751735,0.11015856700000001,1.3254556058899254,1.1217064110525379,True,False,False
nat_amer_pop,population,204,0,0.0,0.01220425950490196,0.025456333352839106,0.000413402,0.00116354825,0.0025981750000000003,0.006703501000000001,0.134611211,0.00553995275,3.0264444341986234,9.31467045178021,True,True,False
asian_pop,population,204,0,0.0,0.04446880331372549,0.05291737012763625,0.006152592,0.01745935725,0.0293609975,0.050583776,0.364536025,0.033124418749999995,4.2818938248994645,22.171337139261755,True,True,False
hispanic_pop,population,204,0,0.0,0.13100327359313724,0.10315562858164004,0.017022265,0.0579137765,0.1049255,0.15238223625,0.501511822,0.09446845975,1.699572616855571,2.7436547951729238,True,False,False
other_race_pop,population,204,0,0.0,0.05846795350490195,0.039207381975304254,0.034755818,0.04486735375,0.049655217,0.055273714,0.318372638,0.010406360250000003,5.476560754301806,32.55891380350569,True,True,False
diversity_index,index,204,0,0.0,0.4947470113137255,0.14482966704457556,0.175932421,0.39635841075,0.520403588,0.61883471425,0.723584221,0.22247630350000003,-0.4253506195779119,-0.7817626906073896,False,False,False
%_fem_age_18-29,percentage,204,0,0.0,0.20143945588725493,0.01766116186339829,0.163088368,0.19119960675,0.20084600600000002,0.20870833,0.270583012,0.017508723249999997,1.3879655432019173,3.988782299703358,True,False,False
%_fem_age_30-39,percentage,204,0,0.0,0.17373438125,0.015511725450967883,0.14444761,0.1646217585,0.1708033105,0.17735027650000001,0.249868092,0.012728518000000022,2.0925581823351873,7.329723855546616,True,True,False
