state,variable,pre_2022,post_2022_avg,absolute_change,percent_change,percent_change_reliable,direction
Arizona,white_victims,14131.0,23380.0,9249.0,0.6545184346472295,True,increase
Arizona,black_victims,1667.0,3709.0,2042.0,1.2249550089982004,True,increase
Arizona,nat_amer_victims,3468.0,3897.0,429.0,0.12370242214532871,True,increase
Arizona,asian_victims,151.0,337.5,186.5,1.2350993377483444,True,increase
Arizona,hispanic_victims,4156.0,8547.0,4391.0,1.0565447545717035,True,increase
Arizona,other_race_victims,451.0,1032.0,581.0,1.288248337028825,True,increase
Arizona,victims_age_18_29,7373.0,11984.0,4611.0,0.6253899362538994,True,increase
Arizona,victims_age_30_39,5580.0,9171.5,3591.5,0.6436379928315412,True,increase
Arizona,victims_age_40_49,3337.0,5580.5,2243.5,0.6723104584956547,True,increase
Arizona,victims_age_50_59,2160.0,3101.5,941.5,0.4358796296296296,True,increase
Arizona,victims_age_60_69,910.0,1642.5,732.5,0.804945054945055,True,increase
Arizona,victims_age_70_79,351.0,647.0,296.0,0.8433048433048433,True,increase
Arizona,victims_age_80_plus,157.0,228.5,71.5,0.4554140127388535,True,increase
Arizona,involving_firearm,1013.0,1669.0,656.0,0.6475814412635735,True,increase
Arizona,sex_assaults,1213.0,1246.0,33.0,0.02720527617477329,True,increase
Arizona,victim_offender_nonmarried_partner,4876.0,7331.0,2455.0,0.5034864643150123,True,increase
Arizona,victim_offender_rel_spouse,1933.0,2900.5,967.5,0.500517330574237,True,increase
Arizona,dv_total,9781.0,14860.5,5079.5,0.5193231775892035,True,increase
Arizona,firearm_nonmarried,129.0,168.5,39.5,0.3062015503875969,True,increase
Arizona,near_school,163.0,423.5,260.5,1.598159509202454,True,increase
Arizona,on_tribal_lands,770.0,788.5,18.5,0.024025974025974027,True,increase
Arizona,fem_pop,2854606.6,2985821.9000000004,131215.30000000028,0.045966158699415983,True,increase
Arizona,white_pop,0.520081178,0.517358446,-0.00272273199999995,-0.005235205800891241,False,decrease
Arizona,black_pop,0.042905916,0.044709975,0.0018040589999999967,0.042046858992591994,False,increase
Arizona,nat_amer_pop,0.033144932,0.031408989,-0.0017359430000000037,-0.0523743117047277,False,decrease
Arizona,asian_pop,0.03273401,0.036531215500000006,0.0037972055000000046,0.11600184334274978,False,increase
Arizona,hispanic_pop,0.323120106,0.3185124375,-0.004607668499999995,-0.014259925069472448,False,decrease
Arizona,other_race_pop,0.048013858,0.051662785,0.003648927000000003,0.07599737142555808,False,increase
Arizona,diversity_index,0.618792615,0.6238710205,0.005078405499999938,0.008206958804768441,False,increase
Arizona,%_fem_age_18-29,0.209143276,0.20670389150000001,-0.0024393844999999748,-0.011663700342916953,False,decrease
Arizona,%_fem_age_30-39,0.170917321,0.170423435,-0.0004938859999999989,-0.0028896193616327445,False,decrease
Arizona,%_fem_age_40-49,0.152691197,0.1529661095,0.0002749125000000019,0.0018004476053717876,False,increase
Arizona,fem_age_50-59,0.150968925,0.1432975,-0.0076714250000000095,-0.05081459644758025,False,decrease
Arizona,fem_age_60-69,0.153120749,0.1527432115,-0.00037753749999999697,-0.0024656194700301325,False,decrease
Arizona,fem_age_70-79,0.112899496,0.11787926900000001,0.004979773000000007,0.04410801798442047,False,increase
Arizona,fem_age_80+,0.050259037,0.055986583,0.005727546,0.11396052017471008,False,increase
Arizona,age_coef_variation,0.445166175,0.4749499465,0.0297837715,0.06690483952425182,False,increase
Arizona,fem_poverty_rate,0.137,0.129,-0.008000000000000007,-0.05839416058394165,False,decrease
Arizona,male_poverty_rate,0.118,0.1125,-0.005499999999999991,-0.04661016949152535,False,decrease
Arizona,poverty_gender_disparity_score,1.161016949,1.146245059,-0.01477189000000001,-0.012723233724299413,False,decrease
Arizona,fem_labor_force_part,0.554416267,0.562989249,0.008572982000000007,0.015463078034108272,False,increase
Arizona,all_labor_force_part,0.605643378,0.6107263935,0.00508301550000001,0.008392753367147374,False,increase
Arizona,labor_force_ratio,0.915417038,0.9218502799999999,0.00643324199999995,0.00702766251112747,False,increase
Arizona,unemployment_rate,0.058,0.0445,-0.013500000000000005,-0.23275862068965525,False,decrease
Arizona,mhhi,69056.0,79400.5,10344.5,0.1497987140871177,True,increase
Arizona,%_at_least_bach_degree,0.324294113,0.3412473305,0.016953217500000006,0.052277290337367326,False,increase
Arizona,%_at_least_high_school,0.889692723,0.895555008,0.005862284999999967,0.00658911200288638,False,increase
Arizona,avg_years_schooling,13.47792491,13.56019687,0.08227195999999992,0.006104200798667301,True,increase
Arizona,gun_deaths_per_100k,16.7,19.5,2.8000000000000007,0.16766467065868268,True,increase
Arizona,white_adj_rate,951.821464,1513.422441,561.600977,0.5900276451424927,True,increase
Arizona,black_adj_rate,1361.043971,2777.262142,1416.218171,1.0405381465813053,True,increase
Arizona,nat_amer_adj_rate,3665.352023,4152.3098685,486.95784550000053,0.13285431861506103,True,increase
Arizona,asian_adj_rate,161.5963217,307.61340144999997,146.01707974999997,0.9035916053898643,True,increase
Arizona,hispanic_adj_rate,450.5731318,895.8405347,445.26740290000004,0.9882244889330084,True,increase
Arkansas,total_incidents,29611.0,27623.5,-1987.5,-0.06712032690554186,True,decrease
Arkansas,white_victims,16568.0,15523.0,-1045.0,-0.06307339449541284,True,decrease
Arkansas,black_victims,12463.0,11614.5,-848.5,-0.06808152130305704,True,decrease
Arkansas,nat_amer_victims,62.0,50.5,-11.5,-0.18548387096774194,True,decrease
Arkansas,asian_victims,128.0,86.0,-42.0,-0.328125,True,decrease
Arkansas,hispanic_victims,1281.0,1628.0,347.0,0.27088212334113976,True,increase
Arkansas,other_race_victims,390.0,349.5,-40.5,-0.10384615384615385,True,decrease
Arkansas,victims_age_18_29,12011.0,10577.5,-1433.5,-0.11934893014736492,True,decrease
Arkansas,victims_age_30_39,8542.0,7778.0,-764.0,-0.08944041208147975,True,decrease
Arkansas,victims_age_40_49,4926.0,4893.5,-32.5,-0.00659764514819326,True,decrease
Arkansas,victims_age_50_59,2447.0,2473.0,26.0,0.010625255414793625,True,increase
Arkansas,victims_age_60_69,1164.0,1334.5,170.5,0.14647766323024056,True,increase
Arkansas,victims_age_70_79,356.0,416.5,60.5,0.1699438202247191,True,increase
Arkansas,victims_age_80_plus,165.0,150.5,-14.5,-0.08787878787878788,True,decrease
Arkansas,involving_firearm,3365.0,2606.5,-758.5,-0.22540861812778604,True,decrease
Arkansas,sex_assaults,1231.0,1022.5,-208.5,-0.169374492282697,True,decrease
Arkansas,victim_offender_nonmarried_partner,7003.0,5955.0,-1048.0,-0.14965014993574183,True,decrease
Arkansas,victim_offender_rel_spouse,2358.0,2051.5,-306.5,-0.1299830364715861,True,decrease
Arkansas,dv_total,12142.0,10694.5,-1447.5,-0.11921429747982211,True,decrease
Arkansas,firearm_nonmarried,403.0,276.0,-127.0,-0.315136476426799,True,decrease
Arkansas,near_school,146.0,309.5,163.5,1.11986301369863,True,increase
Arkansas,on_tribal_lands,0.0,1.0,1.0,,False,increase
Arkansas,fem_pop,1190439.4,1221350.9,30911.5,0.0259664624675561,True,increase
Arkansas,white_pop,0.682223186,0.668407196,-0.01381599,-0.020251422530807976,False,decrease
Arkansas,black_pop,0.147319252,0.1418357775,-0.005483474500000002,-0.037221710167249566,False,decrease
Arkansas,nat_amer_pop,0.00366074,0.0040220640000000005,0.00036132400000000054,0.09870244813890103,False,increase
Arkansas,asian_pop,0.038174933,0.016415058,-0.021759875,-0.570004274794667,False,decrease
Arkansas,hispanic_pop,0.081840688,0.093326663,0.01148597500000001,0.14034553326335686,False,increase
Arkansas,other_race_pop,0.070881601,0.0753649965,0.004483395500000001,0.06325189381656321,False,increase
Arkansas,diversity_index,0.500934969,0.5184030884999999,0.017468119499999935,0.034871032331543886,False,increase
Arkansas,%_fem_age_18-29,0.201500869,0.20266215650000002,0.0011612875000000245,0.005763188544859449,False,increase
Arkansas,%_fem_age_30-39,0.171332257,0.167132333,-0.004199923999999994,-0.024513329092489537,False,decrease
Arkansas,%_fem_age_40-49,0.155953297,0.1620553165,0.0061020195,0.03912722345331372,False,increase
Arkansas,fem_age_50-59,0.162523661,0.149982633,-0.01254102800000001,-0.07716432132303498,False,decrease
Arkansas,fem_age_60-69,0.154307044,0.158617329,0.004310284999999997,0.027933170698286443,False,increase
Arkansas,fem_age_70-79,0.106413614,0.1081943175,0.0017807034999999943,0.01673379404255544,False,increase
Arkansas,fem_age_80+,0.047969258,0.0513559155,0.003386657500000001,0.07060058131397406,False,increase
Arkansas,age_coef_variation,0.450781209,0.475076018,0.024294808999999973,0.053894901816992045,False,increase
