var1,var2,correlation,abs_correlation,strength,direction,likely_structural,scale_effect,redundant_feature_pair
black_victims,%_at_least_high_school,-0.4282622263620276,0.4282622263620276,moderate,negative,False,False,False
victim_offender_rel_spouse,%_fem_age_40-49,0.4269519428754526,0.4269519428754526,moderate,positive,False,False,False
fem_age_70-79,fem_labor_force_part,-0.4260895666363519,0.4260895666363519,moderate,negative,False,False,False
involving_firearm,%_at_least_high_school,-0.42574605850339375,0.42574605850339375,moderate,negative,False,False,False
fem_pop,white_pop,-0.4255106489142759,0.4255106489142759,moderate,negative,False,False,False
near_school,%_at_least_high_school,-0.42497529847106247,0.42497529847106247,moderate,negative,False,False,False
sex_assaults,%_fem_age_40-49,0.4247741385372648,0.4247741385372648,moderate,positive,False,False,False
white_pop,black_pop,-0.4223538385304993,0.4223538385304993,moderate,negative,False,False,False
victims_age_60_69,hispanic_pop,0.4219035319698985,0.4219035319698985,moderate,positive,False,True,False
fem_age_60-69,all_labor_force_part,-0.41908087838419567,0.41908087838419567,moderate,negative,False,False,False
diversity_index,%_fem_age_40-49,0.4181439561561823,0.4181439561561823,moderate,positive,False,False,False
victims_age_70_79,diversity_index,0.4154578690606203,0.4154578690606203,moderate,positive,False,False,False
white_victims,white_adj_rate,0.415380066541492,0.415380066541492,moderate,positive,False,False,False
victims_age_40_49,hispanic_pop,0.41493500646443177,0.41493500646443177,moderate,positive,False,True,False
victims_age_80_plus,diversity_index,0.41400593023259147,0.41400593023259147,moderate,positive,False,False,False
victims_age_50_59,hispanic_pop,0.41215953831436464,0.41215953831436464,moderate,positive,False,True,False
%_fem_age_30-39,avg_years_schooling,0.41129195645104466,0.41129195645104466,moderate,positive,False,False,False
hispanic_victims,white_adj_rate,0.4102224530581001,0.4102224530581001,moderate,positive,False,False,False
%_fem_age_30-39,%_fem_age_40-49,0.40863145766667813,0.40863145766667813,moderate,positive,False,False,False
fem_labor_force_part,labor_force_ratio,0.40795180992566404,0.40795180992566404,moderate,positive,False,False,False
victim_offender_rel_spouse,white_adj_rate,0.4078490777192025,0.4078490777192025,moderate,positive,False,False,False
dv_total,hispanic_pop,0.40752098086093497,0.40752098086093497,moderate,positive,False,True,False
victims_age_30_39,hispanic_pop,0.40733902006922845,0.40733902006922845,moderate,positive,False,True,False
white_victims,labor_force_ratio,-0.4050811015575455,0.4050811015575455,moderate,negative,False,False,False
male_poverty_rate,unemployment_rate,0.4039822557648046,0.4039822557648046,moderate,positive,False,False,False
total_incidents,hispanic_pop,0.4039187679656179,0.4039187679656179,moderate,positive,False,True,False
firearm_nonmarried,%_at_least_high_school,-0.4037468849694879,0.4037468849694879,moderate,negative,False,False,False
victims_age_60_69,diversity_index,0.40311104633810013,0.40311104633810013,moderate,positive,False,False,False
victim_offender_rel_spouse,labor_force_ratio,-0.40207301716299654,0.40207301716299654,moderate,negative,False,False,False
sex_assaults,fem_age_70-79,-0.40177879074095496,0.40177879074095496,moderate,negative,False,False,False
other_race_victims,victims_age_60_69,0.40163311394676715,0.40163311394676715,moderate,positive,False,False,False
victims_age_70_79,white_pop,-0.40046719373154305,0.40046719373154305,moderate,negative,False,True,False
other_race_victims,fem_pop,0.4002169692998671,0.4002169692998671,moderate,positive,False,True,False
white_victims,%_fem_age_40-49,0.4000037119607714,0.4000037119607714,moderate,positive,False,False,False
