state,variable,template_sentence
Massachusetts,dv_total,"In Massachusetts after 2022, dv_total averaged 14182.00, which is down 2.3% from the 2021 value of 14521.00."
Massachusetts,firearm_nonmarried,"In Massachusetts after 2022, firearm_nonmarried averaged 97.00, which is down 10.2% from the 2021 value of 108.00."
Michigan,involving_firearm,"In Michigan after 2022, involving_firearm averaged 5778.00, which is down 19.4% from the 2021 value of 7173.00."
Michigan,dv_total,"In Michigan after 2022, dv_total averaged 33507.00, which is up 0.1% from the 2021 value of 33487.00."
Michigan,firearm_nonmarried,"In Michigan after 2022, firearm_nonmarried averaged 437.50, which is down 25.8% from the 2021 value of 590.00."
Minnesota,involving_firearm,"In Minnesota after 2022, involving_firearm averaged 1711.50, which is down 10.9% from the 2021 value of 1920.00."
Minnesota,dv_total,"In Minnesota after 2022, dv_total averaged 8721.50, which is down 1.9% from the 2021 value of 8891.00."
Minnesota,firearm_nonmarried,"In Minnesota after 2022, firearm_nonmarried averaged 143.50, which is down 6.8% from the 2021 value of 154.00."
Mississippi,involving_firearm,"In Mississippi after 2022, involving_firearm averaged 532.00, which is down 26.9% from the 2021 value of 728.00."
Mississippi,dv_total,"In Mississippi after 2022, dv_total averaged 4170.50, which is down 24.6% from the 2021 value of 5533.00."
Mississippi,firearm_nonmarried,"In Mississippi after 2022, firearm_nonmarried averaged 44.00, which is down 21.4% from the 2021 value of 56.00."
Missouri,involving_firearm,"In Missouri after 2022, involving_firearm averaged 5138.00, which is up 0.8% from the 2021 value of 5099.00."
Missouri,dv_total,"In Missouri after 2022, dv_total averaged 21758.50, which is up 0.5% from the 2021 value of 21641.00."
Missouri,firearm_nonmarried,"In Missouri after 2022, firearm_nonmarried averaged 476.50, which is down 11.3% from the 2021 value of 537.00."
Montana,involving_firearm,"In Montana after 2022, involving_firearm averaged 376.50, which is down 3.2% from the 2021 value of 389.00."
Montana,dv_total,"In Montana after 2022, dv_total averaged 3350.00, which is down 13.5% from the 2021 value of 3875.00."
Montana,firearm_nonmarried,"In Montana after 2022, firearm_nonmarried averaged 58.50, which is up 14.7% from the 2021 value of 51.00."
Nebraska,involving_firearm,"In Nebraska after 2022, involving_firearm averaged 378.50, which is up 235.0% from the 2021 value of 113.00."
