weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,victim_type_id,sex_code,age_range_low_num,age_range_high_num
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,Attempting Other Arrests,I,PHILADELPHIA,Philadelphia,Pennsylvania,1549259,4091,262,1060,555,3.3,3.9,2024-05-14 00:00:00,8,Not Hispanic or Latino,Minor Injury,2024,5,F,25,
Personal Weapons,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,20,20 Years Old,All Other,I,LAS VEGAS METRO PD,Las Vegas Metropolitan Police Department,Nevada,1716565,2854,1205,358,1674,1.9,3.5,2024-08-15 00:00:00,18,Hispanic or Latino,Minor Injury,2024,5,F,20,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,27,27 Years Old,Responding to Disturbance Call,I,STEUBENVILLE,Steubenville,Ohio,18037,33,2,2,3,1.9,2.2,2024-08-31 00:00:00,21,Not Specified,Other Major Injury,2024,5,F,27,
Handgun,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,30,30 Years Old,Responding to Disturbance Call,I,HARRIS,Harris,Texas,2151209,1657,1241,392,1280,1.0,2.1,2024-04-04 00:00:00,3,Hispanic or Latino,None,2024,5,F,30,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,30,30 Years Old,"Handling, Transporting, Custody of Prisoners",I,HARRIS,Harris,Texas,2151209,1657,1241,392,1280,1.0,2.1,2024-10-29 00:00:00,19,Not Hispanic or Latino,Minor Injury,2024,5,F,30,
Personal Weapons,t,None (no bias),Victim Was Stranger,Grocery/Supermarket,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,47,47 Years Old,Attempting Other Arrests,I,STOCKTON,Stockton,California,319069,343,52,39,140,1.2,1.8,2024-11-26 00:00:00,11,Not Hispanic or Latino,None,2024,5,F,47,
Motor Vehicle/Vessel,f,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,23,23 Years Old,Investigating Suspicious Persons or Circumstances,I,ROUND ROCK,Round Rock,Texas,133868,185,20,24,69,1.6,2.2,2024-06-06 00:00:00,2,Hispanic or Latino,None,2024,5,F,23,
None,f,None (no bias),Victim Was Boyfriend/Girlfriend,Residence/Home,Kidnapping/Abduction,Person,f,t,  ,Kidnapping/Abduction,A    ,White,10,36,36 Years Old,Responding to Disturbance Call,I,RICHMOND,Richmond,Kentucky,38072,55,9,10,9,1.7,2.2,2024-11-28 00:00:00,16,Not Hispanic or Latino,Minor Injury,2024,5,F,36,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,34,34 Years Old,Responding to Disturbance Call,I,CLARKSVILLE,Clarksville,Tennessee,185349,290,19,48,61,1.8,2.3,2024-03-05 00:00:00,17,Not Hispanic or Latino,Minor Injury,2024,5,F,34,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,28,28 Years Old,Responding to Disturbance Call,I,LAS VEGAS METRO PD,Las Vegas Metropolitan Police Department,Nevada,1716565,2854,1205,358,1674,1.9,3.5,2024-03-03 00:00:00,20,Hispanic or Latino,None,2024,5,F,28,
